语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：愁
2023/1/20 16:06:28

序号	语句	书名	朝代
178	人为之能专心自守，能不听其言，考心乃行，闭口不传其言，又不随为其 [愁] 怒喜固固坚守本不移，务阴利佑人及凡物，不欲为害。		《太平经》__汉
179	是尊卑之神吏，魂魄为之 [愁] ，至灭乃已。		《太平经》__汉
180	天下服听，因驱韩、魏以攻齐，曰 [愁] 反宋地，而归楚之淮北。		《战国策》__汉
181	’”周☆对曰：“若臣之贱也，今人有谓臣曰，入不测之渊而 [愁] 出，不出，请以一鼠首为女存档者，臣必不为也。		《战国策》__汉
182	逊与冀州秀才高乾和，瀛州秀才马敬德、许散 [愁] 、韩同宝，洛州秀才傅怀德，怀州秀才古道子，广平郡孝廉李汉子，勃海郡孝廉鲍长暄，阳平郡孝廉景孙，前梁州府主簿王九元、前开府水曹参军周子深等十一人同被尚书召共刊定。		《北史》__魏晋六朝
183	至于胜负未分，交争都市，心热于中，颜 [愁] 于外，名之为乐，而实煎悴，丧廉耻之操，兴争竞之端，相取重货，密结怨隙。		《抱朴子》__魏晋六朝
184	盛为无 [愁] 之曲，帝自弹胡琵琶而唱之，侍和之者以百数，人间谓之无 [愁] 天子。		《北史》__魏晋六朝
185	二人之中，其一人者，含笑而言：“彼不肯与，何足为 [愁] 。”		《百喻经》__魏晋六朝
186	昔有一人，共他相嗔， [愁] 忧不乐。		《百喻经》__魏晋六朝
187	有人问言：“汝今何故 [愁] 悴如是？”		《百喻经》__魏晋六朝
188	有一老人来，语之言：“汝莫 [愁] 也。		《百喻经》__魏晋六朝
189	诸亲语言：“我当为汝作好方便，使汝得之，勿得 [愁] 也。”		《百喻经》__魏晋六朝
190	令杨愔传旨谓国子助教许散 [愁] 曰：“先生在世，何以自资？”		《北史》__魏晋六朝
191	对曰：“散 [愁] 自少以来，不登娈童之床，不入季女之室，服膺简策，不知老之将至。		《北史》__魏晋六朝
192	乃诈为书，言尔硃兆将以六镇人配契胡为部曲，众皆 [愁] 。		《北史》__魏晋六朝
193	 [愁] 疾甚乎厉鬼，人生异夫金石。		《北史》__魏晋六朝
194	更可怜人生如寄，唯当行乐，何用 [愁] 为？”		《北史》__魏晋六朝
195	君子多苦心，所 [愁] 不但一。		《曹操诗》__魏晋六朝
196	念君去我时，独 [愁] 常苦悲。		《曹操诗》__魏晋六朝
197	出亦复何苦，入亦复何 [愁] 。		《曹操诗》__魏晋六朝
198	「汝当修行安般之法，修行此法，所有 [愁] 忧之想皆当除尽。		《东晋译经》__魏晋六朝
199	尔时，尊者罗云复作是念：今云何修行安般，除去 [愁] 忧，无有诸想？		《东晋译经》__魏晋六朝
200	须臾退坐，白世尊曰：「云何修行安般，除去 [愁] 忧，无有诸想，获大果报，得甘露味？」		《东晋译经》__魏晋六朝
201	汝乃能於如来前而师子吼，问如此义：『云何修行安般，除去 [愁] 忧，无有诸想，获大果报，得甘露味？		《东晋译经》__魏晋六朝
202	能修行安般者，则无 [愁] 忧恼乱之想，获大果报，得甘露味。」		《东晋译经》__魏晋六朝
203	彼苦乐已灭，无复 [愁] 忧，无苦无乐，护念清净，游於四禅。		《东晋译经》__魏晋六朝
204	所谓：无明缘行；行缘识；识缘名色；名色缘六入；六入缘触；触缘受；受缘爱；爱缘取；取缘有；有缘生；生缘老死， [愁] 、叹、苦、忧、恼而得生起；如是唯生纯极大苦之聚。		《东晋译经》__魏晋六朝
205	此中，无明灭故行灭；行灭故识灭；识灭故名色灭；名色灭故六入灭；六入灭故触灭；触灭故受灭；受灭故爱灭；爱灭故取灭；取灭故有灭；有灭故生灭；生灭故老、死、 [愁] 、叹、苦、忧、恼得灭；如是唯灭纯极大苦之聚。		《东晋译经》__魏晋六朝
206	”的“虚拟”方式：“在穷 [愁] 潦倒的客 [愁] 中，通过自身的感受，设想到家室的离思		《古诗十九首》__魏晋六朝
